Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
49,Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,4.3,178.0,24.0,celi,brim 100% algodão,Sem gênero,não definido,Muito bom o macacão. Consegui retirar as vespas sem problemas. Fica bem fechado. Nem foi necessário fechar botas e luvas com fita. É bem resistente e vai durar bastante tempo.,Ficou ótimo perfeito.,Beleza tudo ok muito boa.,+1000,203.88,0.7407407407407406,0.0195019832525341,0.3114754098360656,0.3291156508986733,177,46,1,1000.0,0.0077307867212369,0.0090950432014552
54,Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,4.1,331.0,10.0,celi,algodão,Sem gênero,não definido,Bom produto so uma resalva quando alguem for fazer o pedido pede um numero maior do que vc costuma usar exp. Se vc usa roupas g pede o macacao gg ou xg pra ficar com folga. No restante tudo certo.,Eu achei muito fino o tecido poderia ser mais grosso fui tirar uma abelha levei algumas ferruado.,Otimo.,+1000,166.21,0.6666666666666666,0.0363596297928602,0.0819672131147541,0.2648784147880358,177,25,1,1000.0,0.0077307867212369,0.176443838108231
59,Kit Com 10 Cuecas Slip Algodão Zorba,4.5,426.0,25.0,zorba,algodão,Masculino,primavera/verão,"Produto falsificado , não tem nada haver com zorba falsificação grosseira! uso zorba a muito tempo essa não é verdadeira não recomendo a compra.",A qualidade deixa a desejar no tamanho e tecido.,"Produto de ótima qualidade ! exatamente o que eu procurava !.
Recomendo.",+1000,159.9,0.8148148148148148,0.0468267959453503,0.3278688524590164,0.2541182087923331,838,25,7,1000.0,0.0090950432014552,0.176443838108231
60,Kit 4 Cuecas Boxer Infantil Kids Menino Box Sem Costura Lupo,4.9,145.0,31.0,lupo,poliamida,Meninos,primavera/verão,"Produto pequeno, mercado livre não esta me habilitando a possibilidade de devolver o produto.",Excelente qualidade e meu filho amou.,"Meu filho tem 6 anos magro, tinha comprado medidas de 6 a 8 anos ficou pequena. Comprei novamente medidas de 9 a 11 anos, ficou muito bom.",+1000,109.9,0.9629629629629632,0.0158660202732481,0.4262295081967213,0.1688550867978582,463,116,7,1000.0,0.0422919508867667,0.0195543428831286
64,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,4.8,1429.0,30.0,lupo,microfibra,Masculino,primavera/verão,Excelente produto e muito durável. Não sei como vai ser pq este produto dura muito. Comprei novo conjunto depois de quase 3 anos. Então se você quiser esquecer de comprar cueca pelo menos por 3 anos este é o produto ideal.,"Já conhecia esse produto de alta qualidade e preço baixo, tenho uma cueca dessa a 5 anos e ainda vai servir por mais tempo kkk, as cuecas de poliamida da lupo são excelentes, já as de algodão não duram um mês, não comprem as de algodão, comprem essa de poliamida são muito boas e bem duráveis m.","Produto original, estava com medo de comprar e não ser igual ao original porém me surpreendeu a qualidade do produto em breve vou comprar mais cuecas!.",+10mil,69.99,0.925925925925926,0.1573380343763772,0.4098360655737705,0.1007980628218682,463,101,7,10000.0,0.0422919508867667,0.0300136425648021
70,Conjunto 2 Calça Masculina Jogger Swang Roupas Academia Slim,4.8,19.0,10.0,kick,algodão75% poliester25%,Masculino,outono/inverno,Muito bom a calça de moletom grato.,"Gostei, veste bem.",Muito boas.,+100,129.1,0.925925925925926,0.001983252534156,0.0819672131147541,0.2015961256437365,407,38,3,100.0,0.0004547521600727,0.0004547521600727
72,Kit 3 Cuecas Slip Tamanho Especial Plus Size Algodão Mash,4.8,218.0,20.0,mash,algodão,Masculino,não definido,"Uso a marca mash e essas cuecas não tem a mesma qualidade de tecido, entretanto pelo custo, valeu a pena.","Produto de ótima qualidade, serviu certinho. Um problema chatinho foi a finalização da costura, fica incomodando na lateral. Peguei duas com esse problema. Passei uma lixa e resolveu.","É a segunda vez que compro essa marca. Achei a malha um pouco mais fina. Quanta a lavagem, as primeiras desbotaram após um tempo.",+1000,74.9,0.925925925925926,0.0239092111062141,0.2459016393442623,0.1091709014017257,494,25,1,1000.0,0.0109140518417462,0.176443838108231
76,Calça Jeans Preta Feminina Super Lycra  Skinny Cintura Alta,4.4,1533.0,13.0,stillger jeans,sarja,Feminino,outono/inverno,"A calça jeans é muito linda. Vestiu super bem, peguei a 40 e serviu perfeitamente, minhas medidas=79 de cintura, 97 de quadril,62 cm de coxa,67 kg, 1,62 de altura. Ficou boa no comprimento. Os comentários aqui no mercado livre deveriam ser mais detalhados pra ajudar quem vai comprar. Espero ter ajudado.","Gostei bastante do tecido é macio ,veste bem, tomando bom ,não ficou grande e nem curta,. Ainda não lavei pra dizer se encolheu ou desbotou.","Comprei pra minha esposa , ela gostou muito ❤️.",+10mil,61.93,0.777777777777778,0.1687968267959453,0.1311475409836065,0.0870536475563589,738,138,3,10000.0,0.0154615734424738,0.0154615734424738
83,Kit 6 Cuecas Algodão Mash - Promoção Box Masculina Adulto,4.6,422.0,10.0,mash,algodão,Masculino,primavera-verão outono-inverno,"Tenho 1. 70 de altura, 54 kg e 79 cm de quadril. Peguei o menor tamanho e serviu perfeitamente. Se você tiver as coxas um pouco maiores e for mais alto, acho que a m vai te servir mais, pois o comprimento delas é razoavelmente pequeno (para mim, ficou ótimo).","As cuecas pretas são 60% algodão, está na própria etiqueta. As cinzas que são 100%, estranho isso. Os tamanhos estão errados, uso 42 e peguei g(sorte que peguei g), pela recomendação do site seria m, na dúvida, peque um tamanho maior. Tirando esses erros, a qualidade é boa e é bem confortável, não me arrependo, bom custo benefício.","Muito bom, com excelente qualidade, apenas umas das peças que veio muito apertada na coxa. Mas o produto é excelente.",+1000,129.99,0.8518518518518517,0.0463860731599823,0.0819672131147541,0.2031138092152382,494,25,6,1000.0,0.0109140518417462,0.176443838108231
86,Calça Masculina Esportiva Slim Jogger Zíper Na Barra,4.2,58.0,10.0,tactel slim calça ziper,poliéster,Masculino,outono/inverno,"Comprei tamanho g e ficou meio justo em alguns momentos quando agacho ou subo na moto da uma sensação de que vai rasgar. Mas até o momento está servindo, quem usa tamanho g melhor pedir gg.","Achei ótimo, bem leve o material ótimo para correr e fazer atividade física, séria ótimo se tivesse várias outras cores deferente.","Não parece ser gg, achei que seria maior.",+100,59.91,0.7037037037037038,0.006280299691494,0.0819672131147541,0.0836090174277821,748,122,3,100.0,0.001819008640291,0.1173260572987721
105,Calça Montaria Gorgurao Legging Feminina Leg Canelada Bolso,4.5,1019.0,6.0,remanescente,poliéster,Feminino,não definido,"O tecido da calça não é liso! enganação. Poderia falar que é diferente da foto. E aqueles tecidos com listras. Náo é feia, mas e bem diferente da foto. As costuras sao bem reforcadas. Tecido e 92% poliester e 8% elastano o que nao deixa a calca transparente. Muito bom isso, uso 46/48 pedi gg e ficou certinho no corpo, nem muito colado nem muito folgado. O cos e bem alto define o abdomen, os bolsos sao grandes, cabe celular de boa, o meu e g9 play celular e grande e coube certinho. E a barra da calca vou mandar apertar mas porque eu gosto bem apertadinha embaixo.","Modelagem bem coladinha, do jeito que eu gosto. Costuras reforçadas, dois bolsos funcionais( cabe o celular como eu queria), cós largo que modela o abdômen e o tecido não é transparente! o gg ficou perfeito, uso 46.","Comprei tamanho g por causa do comprimento, então a calça ficou um pouquinho larga, mas já era esperado, uso tamanho 42, e me programei para ajustar ela na largura.
Mas achei que o comprimento poderia ser um pouquinho maior, mesmo comprando g ela ficou curta na canela.
O tecido é bem bom, não fica transparente mesmo (testei de todas as formas, rs).",+10mil,47.02,0.8148148148148148,0.1121639488761569,0.0163934426229508,0.0616281845776065,651,122,1,10000.0,0.0013642564802182,0.1173260572987721
106,Kit 6 Cuecas Boxer Lupo Algodão Masculina Box Adulto Cotton,4.6,1676.0,16.0,lupo,algodão cotton,Masculino,primavera-verão outono-inverno,"Não compre, produto falso!!!!.
Mercado livre em grande expansão e eu ainda não sei como esse pessoal consegue vender produtos não autênticos. Na primeira lavagem saiu quase toda a cor das cuecas, e a cada lavagem solta tinta. Estou com o produto há mais de uma semana e a cada lavagem a tinta sai, decepcionante.",Durou poucos meses. A costura do elástico no pano é bem fraca. Conforme o uso vai soltando as linhas e ao puxar rasga a costura do elástico com o pano. Estou pouco a pouco jogando todas fora porque estão rasgando.,"Cueca cinza mais apertadas que as outras devido ao material. Cueca preta solta um pouco da tinta preta ao lavar. Todas elas tem uma costura muito fraca, faz um mês que comprei e já estão descosturando, rasgando na costura, deixou muito a desejar. Acho que não são originais.",+10mil,152.91,0.8518518518518517,0.1845526663728514,0.180327868852459,0.2421984243375055,463,30,6,10000.0,0.0422919508867667,0.003638017280582
108,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,menina linda,jean,Feminino,primavera/verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",+1000,129.2,0.777777777777778,0.0557514323490524,0.0655737704918032,0.2017666518877255,509,74,7,1000.0,0.0100045475216007,0.0254661209640745
110,Kit 3 Calça Jeans Feminina Levanta Bumbum Cintura Alta,4.3,312.0,5.0,stillger,algodão,Feminino,outono/inverno,"Maravilhoso, super recomendo, ficou perfeita 👏👏👏.",Pedi um produto veio outro sem falar no tamanho.,"Do kit, uma calça ficou perfeita, uma ficou boa e a outra não serviu, ficou pequena, pedi a loja para trocar somente a que não serviu, pois como eu só experimentei uma achei que daria certo as outras e já usei, quando fui usar a terceira, não serviu. A resposta da loja foi que só troca o kit inteiro. Mas como vou trocar um kit de calças 38 por outro kit de calça 38 se apenas 1 veio no tamanho errado?.",+1000,174.24,0.7407407407407406,0.0342661965623622,0.0,0.2785716721803485,736,25,3,1000.0,0.0327421555252387,0.176443838108231
119,Kit 2 Calças Jeans Masculina Com Lycra.,4.6,2146.0,5.0,almix,jean,Masculino,primavera/verão,"Obs: eu não suporto calças apertadas , e nem muito largas.
Numeração ( 42 ). Ficou ótima em mim.
Tenho 1. 80 de altura e uns 75kg.
Na cintura e nas coxas, ficou muito boa , ou seja.
- não ficou apertado e nem muito largo. ( ficou legal ).
Do joelho para baixo , ficaram retas ou seja, não tem modelagem , más, tbem não ficou feio , pois não ficou larga.
- elas ficam alinhado com o corpo , porém, não apertado.
Então ela é uma boa escolha para compra.
Porém , só um alerta !.
* ela é fina , tecido leve.
* comprimento é super grande.
Resumindo.
De 1 á 10 , ela valeu uns ( 8 ).","Gostei, as calças vestem bem, são confortáveis e o tecido tem qualidade. Por ter gostado resolvi comprar outro kit com três calças. Nesse kit tenho um reparo a fazer: a numeração que pedi foi 40 e a calça azul clara, apesar de ter na etiqueta a numeração 40, tinha o tamanho correspondente a 42 ou 44. Ficará grande e terei que mandar ajustar. O controle de qualidade poderia ser melhor efetuado nesses casos. No mais nada a reclamar.","Recomendo ótimo jeans tenho 1. 80 altura e 97 kg a número 48 ficou ótimo se eu quiser vou fazer é só o abanhado mas não fiz dobrei por dentro nem se percebe , não ficou colada no corpo que pra mim é ótimo.
Comprarei novamente em breve.
Que deus abençoe a todos.",+10mil,134.3,0.8518518518518517,0.2363375936535919,0.0,0.210463490331162,26,74,7,10000.0,0.0054570259208731,0.0254661209640745
120,Kit 5 Cuecas Zorba Tradicional Slip Ligth Algodão Original,4.7,23.0,28.0,zorba,algodão,Masculino,primavera/verão,Para tamanho g não e igual a zorba original.,Produto parece realmente ser original. Tecido super confortável e bem costurado. Ainda não lavei. Depois volto pra dizer mais.,"Ótimo custo benefício.
Super recomendo.",+100,109.9,0.888888888888889,0.002423975319524,0.3770491803278688,0.1688550867978582,838,25,7,100.0,0.0090950432014552,0.176443838108231
126,10 Shorts Ginástica Moda Fitness Roupas Femininas Atacado,4.7,16.0,13.0,própria,suplex poliéster,Feminino,primavera/verão,Tecido muito bom.,Vale muito a pena. As bermudas estão durando bem e possuem qualidade.,Amei produto muito bom.,+100,219.31,0.888888888888889,0.00165271044513,0.1311475409836065,0.3554278503461682,633,154,7,100.0,0.0100045475216007,0.0031832651205093
127,Jaqueta Jeans Feminina Preta Com Lycra Roupas Atacado,4.3,249.0,10.0,stillger jeans,algodão,Feminino,outono/inverno,"Eu gostei ficou do jeito que eu imaginei que ficaria. Comprei m tenho 1,56 de altura e peso 56 kg e não consigo fechar ela nos seios meu sutiã é 42 (m) mas eu já sabia que isso ia acontecer queria ela para usar aberta mesmo.",Bem bonita eu medi pela tabela deu certinho ela tem lycra ela conresponde a tabela.,"A forma é realmente pequena, comprem o tamanho maior sem medo. Mas o produto é impecável.",+1000,64.49,0.7407407407407406,0.0273248126928162,0.0819672131147541,0.091419119402476,738,25,3,1000.0,0.0154615734424738,0.176443838108231
129,Kit Com 10 Cuecas Boxer Algodão Cotton Masculina Adulto Mash,4.8,327.0,15.0,mash,algodão,Masculino,primavera-verão outono-inverno,Vou comprar de novo rs muito bom produto.,"As cuecas são muito boas, excelente custo benefício. Recomendo, meu marido aprovou.",Ainda não lavei.,+1000,209.41,0.925925925925926,0.0359189070074922,0.1639344262295082,0.3385457521912622,494,25,6,1000.0,0.0109140518417462,0.176443838108231
142,Conjunto Blusa Térmico Roupa De Frio Masculino Segunda Pele,4.5,44.0,5.0,elry,poliéster,Masculino,outono/inverno,"Realmente esse segunda pele é boa, caiu super bem e se moldou ao corpo! aprovado.","Recomendo super a compra, confortável e tamanho ideal. Ajuda muito no frio.","Produto de excelente qualidade. Tenho 1,78 e 79kg. Ficou muito bom!.",+100,109.4,0.8148148148148148,0.004737769942706,0.0,0.1680024555779134,262,122,3,100.0,0.0009095043201455,0.1173260572987721
144,Kit 5 Camisetas Masculinas Slim Fit  Básicas Algodão Premium,4.5,9077.0,51.0,zaroc,algodão,Masculino,não definido,"Pessoal, quando comentarem sobre a camisa, deixem aqui o seu tamanho, peso e diga o tamanho da camiseta que pegou para servir de base para outras pessoas.
Tenho 73 kg e tenho 1,78. Escolhi o tamanho g pois gosto da camiseta levemente folgada. Ficou muito bem em mim e sinto que a m também iria servir ficando mais justa no corpo.
O material é agradável para vestir porém veio com um cheiro parecido mofo. Lavei antes de usar.
A camiseta cumpre bem o seu papel. Pelo preço, variedade de cores e conforto ao vestir eu recomendo a compra. Bons treinos rapaziada!.","Podem comprar, confesso que tava com um pouco de medo mas o produto realmente é bom. Tamanho ficou ótimo (tenho 75kg e 1,80m) e o meu maior medo não aconteceu, a manga é justa ao braço, não é aquela manga gigante que fica folgada. Voltarei a comprar novamente.","Eu já havia comprado as camisetas de manga longa da zaroc. A qualidade me pareceu tão boa, que procurei as de manga curta também para comprar. Da mesma forma me surpreendi com a qualidade.
O tecido da camiseta é bastante confortável ao corpo, sendo que alguns tipos de tecidos me causam coceira, mas não tive nenhum problema com estas camisetas.
O modelo da camiseta pra mim é a melhor parte, ela não é colada no corpo. Apesar de ela ser um modelo mais slim, não senti que ela fica apertando meu peito, mas em contrapartida ela fica bem justa nos ombros, o que pra mim é excelente, já que ela te deixa com um aspecto mais encorpado, principalmente se você for uma pessoa magra como eu, que dificilmente encontra uma roupa que te veste bem.
Uma coisa que pude notar entretanto é que a medida é um pouquinho diferente. Eu tomei como base o tamanho das camisetas de manga cumprida que eu já havia comprado, e a circunferência da camiseta no peito e barriga são praticamente idênticas, porém a altura da camiseta ficou um pouco grande, mas nada que me incomoda muito.",+50mil,239.11,0.8148148148148148,1.0,0.7540983606557378,0.3891920466559804,831,25,1,50000.0,0.0009095043201455,0.176443838108231
148,Kit Pintores Macacão De Proteção Luva Óculos Respirador Epi,4.0,45.0,7.0,teknoluvas,poliéster,Masculino,não definido,"Macacão bem frágil o tecido, o restante dentro do esperado.",Meia boca.,Excelente.,+100,73.8,0.6296296296296297,0.004847950639048,0.0327868852459016,0.1072951127178472,750,122,1,100.0,0.0004547521600727,0.1173260572987721
152,Kit 3 Cuecas Boxer Lupo Tamanho Plus Size Masculina Original,4.4,127.0,29.0,lupo,algodão,Masculino,outono/inverno,"Desde criança nunca tinha usado uma cueca como esta, fui usar pela primeira vez agora com 66 anos, e quando eu morrer vou usando essa cueca, maravilhosa!.",Adorei perfeita.,"Ótima qualidade, só a numeração que não confere muito. A maior numeração não atende oque promete.",+1000,99.99,0.777777777777778,0.0138827677390921,0.3934426229508196,0.1519559360185532,463,25,3,1000.0,0.0422919508867667,0.176443838108231
154,Macacão Segurança Proteção Química Laboratório Pintura Longo,4.2,30.0,10.0,steelflex epi tipo 6 roupa descartável,capuz laminado masculino feminino,Sem gênero,não definido,Muito bom gostei bastante.,Pano de pecima qualidade achei q era mais porte mas er pano de tnt.,Produto de excelente custo beneficio.,+1000,25.63,0.7037037037037038,0.003195240193918,0.0819672131147541,0.0251526209883701,733,54,1,1000.0,0.0004547521600727,0.0004547521600727
158,Calça Feminina Pantalona Cintura Alta Cós Largo Duna Moda,4.4,14.0,18.0,própria,duna,Feminino,outono/inverno,Ótimo.,Ótima.,Eu ameiiii super elegante o p veste até um m.,+100,72.36,0.777777777777778,0.001432349052446,0.2131147540983606,0.1048395348044064,633,60,3,100.0,0.0100045475216007,0.001819008640291
160,Kit 15 Cueca Boxer Tamanho Especial Plus Size Microfibra,3.8,30.0,31.0,mallbeck combo roupa íntima masculina,microfibra,Masculino,não definido,"De gg3 não tem nada, tá parecendo gg normal e ao esticar o produto rasga.",Produto bom!.,Os tamanhos não vieram iguais alguns menores.,+100,149.43,0.5555555555555555,0.003195240193918,0.4262295081967213,0.2362641110466901,475,101,1,100.0,0.0004547521600727,0.0300136425648021
165,Kit 2 Calça Jeans Masculina Jogger Camuflada Sarja Elástico,4.3,215.0,10.0,gbgsports,sarja,Masculino,outono/inverno,"Achei as calças lindas e vieram exatamente como eu queria, tento 1,65 de altura e peso 60kg peguei o tamanho m (serviu como eu queria) a preta tinha umas sobras de linha mas nada de mais, ela também na parte da batata da perna acima da canela estava mais apertadinha que a azul mas está linda igual e não causa desconforto, só dá pra perceber isso se parar para olhar mesmo.",Qualidade não é boa.,"Primeira lavagem, calça preta desbou saiu praticamente toda tinta.",+1000,134.32,0.7407407407407406,0.0235786690171881,0.0819672131147541,0.2104975955799597,324,138,3,1000.0,0.0059117780809458,0.0154615734424738
173,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,4.6,2382.0,22.0,lupo,algodão,Masculino,primavera/verão,"Muito bom , eu sempre gostei de usar cueca com folga mas resolvi seguir as orientações das medidas na tabela e ficou ótimo. Peguei a m (normalmente pego um tamanho acima) mas ficou muito bom, perfeito. Se tivesse arriscado no tamanho g teria ficado muito largo. Tenho 1. 75 altura e 76kg.",As cuecas são de péssima qualidade as mais falsas que existe. Eu uso cuecas lupo há muito tempo não gostei porque é anunciado como original. Estou só o ódio.,"Eu tenho 1,80 e peso 80 kg, a g ficou perfeita.",+10mil,89.9,0.8518518518518517,0.2623402379903041,0.2786885245901639,0.1347498380000682,463,25,7,10000.0,0.0422919508867667,0.176443838108231
175,10 Shorts Ginástica Moda Fitness Roupas Femininas Atacado,4.7,16.0,13.0,própria,suplex poliéster,Feminino,primavera/verão,Tecido muito bom.,Vale muito a pena. As bermudas estão durando bem e possuem qualidade.,Amei produto muito bom.,+100,219.31,0.888888888888889,0.00165271044513,0.1311475409836065,0.3554278503461682,633,154,7,100.0,0.0100045475216007,0.0031832651205093
